"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AT1G80180"	-1.01304176697548	6.85120646411346	-6.22803732131419	3.76736316334921e-06	0.000575478373068126	4.39336026008377
"AT3G01970"	-1.56479379021079	2.3750106849086	-6.21340058856639	3.89165339979423e-06	0.000590187436458003	4.38452182428032
"AT4G13770"	1.93919142627579	7.29343635432939	6.20641789175645	3.95242136726388e-06	0.000595121731585162	4.34588333338064
"AT4G10500"	-2.46427242257326	2.81915717867927	-6.1877028277383	4.12013450665098e-06	0.000615902799989248	4.40631621124097
"AT2G34310"	-0.568416400243158	5.1492126409872	-6.1845746528247	4.14887085381752e-06	0.000615902799989248	4.34564775325336
"AT5G28919"	0.732288426428003	5.49014332208468	6.16878025745902	4.29713110726785e-06	0.00063345121497347	4.2988135237993
"AT2G44230"	-1.30687340237061	5.20853431690868	-6.16258971020063	4.35671221812091e-06	0.000637774260819367	4.29455926454699
"AT5G23920"	-1.27417044398673	5.98480735875005	-6.15306181556417	4.45007256721863e-06	0.000646948480806681	4.25021845359367
"AT1G75370"	-0.601719938241773	5.83120012390398	-6.14601690595633	4.52041931247844e-06	0.000652674240459215	4.22903046371641
"AT1G50010"	0.587553352128433	8.7891261669151	6.1378673511164	4.60321951005646e-06	0.000660107940625784	4.1963865844185
"AT1G01510"	0.481007531334629	5.65790979723348	6.13182239583955	4.66563926647162e-06	0.000664538349575823	4.20863108179303
"AT2G39220"	2.29831172133885	3.36015637726759	6.11806251073662	4.81097657649865e-06	0.000680640176057661	4.28293185450516
"AT5G55530"	0.537297610899031	5.74327191144776	6.10443733560841	4.95946351863388e-06	0.000696122607514312	4.14094740149203
"AT5G59870"	1.0506469096137	6.41750826780587	6.10200534959024	4.98645700828563e-06	0.000696122607514312	4.11885160115728
"AT5G13240"	-0.696335239878081	4.89936556075579	-6.08383989868648	5.19290100770058e-06	0.000720173376594265	4.14703740952955
"AT4G34750"	1.0193364740281	3.73687164734448	6.07514268180537	5.29482038675286e-06	0.000726813771798711	4.18478379316075
"AT1G71870"	1.2348809715218	5.10035060834903	6.07008087878244	5.35507847603448e-06	0.000726813771798711	4.09051194103866
"AT1G63100"	1.80743758422559	4.508851221345	6.06803505588695	5.37963175780449e-06	0.000726813771798711	4.1437613876359
"AT1G54120"	-1.01300743345774	2.5964766407924	-6.0674959805499	5.38612072822355e-06	0.000726813771798711	4.14326527093649
"AT3G12810"	0.507272713294667	5.78763502072641	6.06525544299162	5.41317657364315e-06	0.000726813771798711	4.05070698792603
"AT4G28040"	-1.53078057617163	4.79768652417176	-6.06190078617351	5.45394649922401e-06	0.000727653115212925	4.10686067892184
"AT2G36570"	1.7063759311155	5.41381258160188	6.05487013064203	5.54041473919345e-06	0.000733054192798899	4.05444038939347
"AT5G36160"	-0.770094943733099	5.65689991991484	-6.05208622493786	5.57504006162996e-06	0.000733054192798899	4.02692499193085
"AT3G09440"	1.21675831037998	7.81557634834657	6.04709349630148	5.6376940078919e-06	0.000733054192798899	3.99159215858316
"AT5G48070"	2.05786365229449	4.14069029626187	6.04490537028762	5.66537964407196e-06	0.000733054192798899	4.09784955636575
"AT2G04240"	-0.799208882688999	4.70282561946742	-6.04467493986976	5.66830329346397e-06	0.000733054192798899	4.06768949261645
"AT2G40480"	1.29252744128659	5.34635734360515	6.03839772606039	5.74854414634805e-06	0.000736191204066369	4.01583079620339
"AT4G35730"	1.32252012542307	3.56672946967379	6.037322299484	5.7624074322083e-06	0.000736191204066369	4.11015357142129
"AT3G59765"	1.41871856152725	3.12659502635305	6.02805115590563	5.88334995599339e-06	0.000747114560676751	4.09518877233042
"AT1G17665"	1.70276557304922	1.31974855365945	6.01418355436751	6.06912344818485e-06	0.000764371484848613	3.75590673416023
"AT3G54820"	1.80469939361511	2.38611899332052	6.01252317747041	6.09176515439122e-06	0.000764371484848613	4.01466941617118
"AT2G13540"	0.65409876872129	5.67163373075792	6.00697072223732	6.16811106206854e-06	0.000766151647064133	3.92673828184218
"AT2G41460"	0.700336831826219	3.45139716030599	6.00621033478097	6.17864231503333e-06	0.000766151647064133	4.04797921816391
"AT3G02120"	1.27823860351712	4.01450701460707	6.00159483743515	6.2429623378342e-06	0.000769600269482719	4.0145708450563
"AT4G35720"	2.816252906202	2.08550932464142	5.99269537963461	6.36892366768586e-06	0.000780563435551267	3.87978573938106
"AT5G18700"	1.02846661162389	4.900255347624	5.97707149865586	6.59638864028629e-06	0.000802098919309178	3.90568938072586
"AT5G54160"	-0.889190098064535	8.87755005858848	-5.97543161059216	6.62074060530346e-06	0.000802098919309178	3.83720958038665
"AT2G43100"	1.75084050095033	6.30154322068574	5.9712620534034	6.6830727223549e-06	0.000805023845641379	3.83719883763146
"AT1G30820"	1.39477953916742	6.80168812578879	5.96537089064733	6.77216682106451e-06	0.000808173763810372	3.81390427322509
"AT1G76540"	1.01741718178178	4.86038641176	5.96446992100459	6.78589925021043e-06	0.000808173763810372	3.87898124168066
"AT4G34450"	0.372583021330668	8.6764178912767	5.95522884176467	6.92840584362603e-06	0.000820157711097639	3.78997921693958
"AT1G12970"	-0.742310772883607	4.49633181857153	-5.95292949962537	6.96433730011753e-06	0.000820157711097639	3.87341143786472
"AT4G33550"	-2.22320070377712	4.27498193009093	-5.94849138606617	7.03423106681424e-06	0.000823786616046912	3.89912590380235
"AT1G69440"	0.855511756109747	2.98130572315702	5.94600219531224	7.07374585948129e-06	0.00082383736308213	3.91902314639881
"AT5G63950"	0.709443966345627	5.43896043850344	5.93120382504717	7.31339739346299e-06	0.000847068225572526	3.7694816921493
"AT4G21820"	1.41086944055288	3.39590541256019	5.91670346687508	7.55628278657801e-06	0.000860713486506778	3.85427071572477
"AT3G19030"	0.659214676581065	6.56305254192552	5.91505828115111	7.58435640229003e-06	0.000860713486506778	3.70001619239153
"AT5G57110"	0.737285289913396	7.72396643169921	5.91257810509644	7.62688014899549e-06	0.000860713486506778	3.69085286397814
"AT1G07040"	-0.581588442764705	4.95710231289095	-5.90987468598073	7.67350933150267e-06	0.000860713486506778	3.75354923749909
"AT5G10390"	1.12466255525904	4.27562313052175	5.90667202658647	7.7291270081934e-06	0.000860713486506778	3.79766385575655
"AT5G45110"	-0.921963485069088	5.06150820369502	-5.90633664497128	7.73497507261646e-06	0.000860713486506778	3.74562025683144
"AT1G20693"	0.646979925000247	7.29339705917343	5.90506706603427	7.75715379568688e-06	0.000860713486506778	3.6729732847862
"AT3G18900"	2.59392651306312	1.69054596001193	5.90502704432389	7.7578540055165e-06	0.000860713486506778	3.6377848119776
"AT1G72730"	0.950425720049027	5.7523995806663	5.89949911952027	7.85519291598014e-06	0.000861953713377102	3.6903044445233
